System	AvgSensitivity	AvgFPR	AggSensitivity	AggFPR
uspstf	0.886517191867839	0.11988951335741951	0.4768463557541339	0.07304068165926314
sced_ten	0.87	0.10993867379334539	0.87	0.6227241529365412
mced_ten	0.6308888365564754	0.004976305783792547	0.6308888365564754	0.004976305783792547
mced_all	0.4204141345127651	0.004949259161233795	0.4204141345127651	0.004949259161233795
