name	uspstf	sced_ten	mced_ten	mced_all
AvgSensitivity	0.886517191867839	0.87	0.6308888365564754	0.4204141345127651
AvgFPR	0.11988951335741951	0.10993867379334539	0.004976305783792547	0.004949259161233795
AggSensitivity	0.4768463557541339	0.87	0.6308888365564754	0.4204141345127651
AggFPR	0.07304068165926314	0.6227241529365412	0.004976305783792547	0.004949259161233795
