System	Total_Individuals	Individual_FP	YearRate	round	age	rrisk	crisk	erisk
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	0	50	0.9269593183407369	0.9269593183407369	0.07304068165926315
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	1	51	0.9269593183407369	0.8592535778587236	0.1460813633185263
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	2	52	0.9269593183407369	0.7964931108137616	0.21912204497778948
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	3	53	0.9269593183407369	0.7383167110630174	0.2921627266370526
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	4	54	0.9269593183407369	0.6843895552065494	0.36520340829631576
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	5	55	0.9269593183407369	0.6344012755737832	0.43824408995557895
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	6	56	0.9269593183407369	0.588064173960368	0.5112847716148421
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	7	57	0.9269593183407369	0.5451115658349113	0.5843254532741052
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	8	58	0.9269593183407369	0.5052962454859811	0.6573661349333684
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	9	59	0.9269593183407369	0.4683890632758186	0.7304068165926315
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	10	60	0.9269593183407369	0.4341776068124091	0.8034474982518947
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	11	61	0.9269593183407369	0.4024649784496432	0.8764881799111579
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	12	62	0.9269593183407369	0.3730686620797006	0.949528861570421
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	13	63	0.9269593183407369	0.34581947269568997	1.0225695432296842
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	14	64	0.9269593183407369	0.3205605826789498	1.0956102248889472
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	15	65	0.9269593183407369	0.29714661920698876	1.1686509065482105
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	16	66	0.9269593183407369	0.2754428275873648	1.2416915882074737
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	17	67	0.9269593183407369	0.2553242957022288	1.3147322698667367
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	18	68	0.9269593183407369	0.23667523509996674	1.387772951526
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	19	69	0.9269593183407369	0.2193883145963988	1.460813633185263
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	20	70	0.9269593183407369	0.20336404255020096	1.5338543148445263
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	21	71	0.9269593183407369	0.18851019425735088	1.6068949965037893
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	22	72	0.9269593183407369	0.17474128116907386	1.6799356781630526
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	23	73	0.9269593183407369	0.16197805887847175	1.7529763598223158
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	24	74	0.9269593183407369	0.1501470710441439	1.8260170414815788
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	25	75	0.9269593183407369	0.13918022662593782	1.899057723140842
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	26	76	0.9269593183407369	0.1290144079996886	1.9720984048001051
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	27	77	0.9269593183407369	0.11959110769552506	2.0451390864593684
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	28	78	0.9269593183407369	0.11085609166905756	2.1181797681186314
uspstf	99999.99999999999	7304.068165926314	0.07304068165926315	29	79	0.9269593183407369	0.10275908716746783	2.1912204497778944
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	0	50	0.37727584706345885	0.37727584706345885	0.6227241529365412
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	1	51	0.37727584706345885	0.1423370647774504	1.2454483058730823
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	2	52	0.37727584706345885	0.05370033668243901	1.8681724588096236
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	3	53	0.37727584706345885	0.020259840009460107	2.4908966117461646
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	4	54	0.37727584706345885	0.007643548300939216	3.1136207646827057
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	5	55	0.37727584706345885	0.0028837261598073046	3.736344917619247
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	6	56	0.37727584706345885	0.001087960229640356	4.359069070555788
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	7	57	0.37727584706345885	4.1046111720892056e-4	4.981793223492329
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	8	58	0.37727584706345885	1.5485706568160916e-4	5.604517376428871
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	9	59	0.37727584706345885	5.8423830628790785e-5	6.227241529365411
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	10	60	0.37727584706345885	2.2041900189169094e-5	6.849965682301953
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	11	61	0.37727584706345885	8.315876564756984e-6	7.472689835238494
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	12	62	0.37727584706345885	3.1373793750438573e-6	8.095413988175036
sced_ten	99830.3652938696	62166.779664970425	0.6227241529365412	13	63	0.37727584706345885	1.1836574612790965e-6	8.718138141111575
