System	Total_Eligible	Total_Screen	Total_TP	Total_FP	Total_TN	Total_FN	Individual_TN	Individual_FP	Pool_NPV	System_NPV
uspstf	355.742901426	62523.61785660001	169.63470613039019	7495.92611817304	392148.33098040096	186.10819529560982	92340.18893264767	7304.068165926314	0.9981090161641706	0.9898717164960256
sced_ten	473.08045186849296	848558.1049978916	411.5799931255889	93289.35270006253	904541.219786765	61.50045874290408	37190.50517703068	62166.779664970425	0.999318424366178	0.9939247447483095
mced_ten	473.08045186849296	99830.3652938696	298.4611758769252	496.78642421000603	997333.7860626176	174.61927599156775	98860.4984177911	496.78642421000603	0.998250097586706	0.9928621841112754
mced_all	1013.09529386961	99830.3652938696	425.9195811511475	494.0863500000004	2693912.6812906098	587.1757127184625	98323.18364999999	494.0863500000004	0.9941292380245444	0.9941292380245444
